access;
several exist vcd package;
payload monitor;
Data Exchange;DatEx
state of readiness;SoR
mission plan;MP
reply;
on - go call;
brake curve;
inclusion;
particular VSP;
c4i system;C4IS
XS service;XSS
movement;
JTA;JTA
Sub - District;
police personnel;PP
train number;TN
gender;
resource failure;
one action;
staff;STF
program;PRG
prompt and message;
two type;
same time;
integrity;
aggregate datum;
certain function;
audible and visual indication of new network identity;
follow two operate mode;F2OM
coordinate;Coord
agent;
following information;FI
functional identity of call party;FIoCP
connection;Conn
termination of call;ToC
public network;PN
uplink command;
TCS operator;TCSOp
other component of tcs;OCTCS
shunting group;
compilation process;
emergency;EMER
datum terminal;
format;FMT
analog imagery;AI
basis;BSS
structural datum of evidence;SDoE
establishment;Est
source of exposure;SoE
subject ID;SID
computer interface;CI
CDNs;CDNs
normal operation;NO
definition;Def
status;STS
target distance;TD
audible confirmation of successful connection;ACSC
view;VW
WS;WS
presentation;PRES
team;Tm
follow call relate service;
functional requirement;fR
RBC;
area;A
whom;
CENELEC standard;
recipient;RCPT
following function;
destination;DEST
inhibition of function;IoF
risk factor;RF
datum link;
incoming railway emergency call;
low value;LV
high level;HL
laboratory test request;
incoming call;
public address system;PAS
Active Directory;AD
no;
vcd transportation system;
detail of Tactical Control System;
priority;Pri
device;DEV
permitted speed;
four button;
submission;SUB
Fault detection / Location;FD/LC
resource provisioning , delegation and reservation policy;
semantic interoperability;SI
radio related prompt and information;
time of symptom;ToS
possibility;POSS
phin Preparedness Key Performance measure;
two geographic position;
location of entire train;
flight path;FP
page button;
readiness of interface;
alarm;ALM
carry feature;
plant;PLT
resource;RES
other organism;
expose individual;
full Supervision;FS
regular basis;RB
upper value;UV
alphanumeric format;AN
mission;MSN
level of public health;LoPH
consistent level;
risk;R
minimum manual override;MMO
type of mobile radio;
completion;CMPL
Startup State;
authorised user;AUs
acceptance;Accept.
follow Information Resource artifact;
maximum number;MN
Railway emergency call;
user request;URQ
flexibility;Flex
new network identity;NNI
acknowledgement;ACK
investigator;IV
party;PTY
shutdown;SHDN
permission;PERM
one or more call group;
environment;Env
rechargeable battery;RBC
restriction;RESTR
list;LST
dedicated button;
AV;
VSP;
group voice call;GVC
salesman;
rule;
load;
trial;
type of symptom;
stored number and information;SNaI
loss of call;
member of group;
other economic operator;OEO
control area;CTA
recovery;
external power interface;EPI
stock number;SN
line;
successful connection;CS
uplinked mission plan;uMP
association;
case definition;
manner;
front end;FE
Assistant Secretary;AS
standard telephone;ST
radio;
valid temperature range;VTR
radio equipment;RE
vcd account;
receive;RECV
IAS IDD;
optimal peer;
same train number;sTN
initiator of link assurance signal;
tick box;
portion;
AV and payload;
port;
relationship;REL
order;ORD
trackside worker;
need;
EIRENE;
exist vcd package of other economic operator;
mandatory information;
translation;transl.
TSET;
multiple deployment option;MDO
store / retrieve number and detail;
OM investigation;
5 level of UAV interaction;
personnel;
MSIU;
designation of heating or cool unit;
Modify;
railway emergency;RE
hospital;
warning message;WM
JDISS;
link;
case records;CR
originator;
person;
ASAS;
shunt group call;
table;
peripheral device;
deregistration of functional number;
group member;
query;Q
review;Rev
other component;
address;ADDR
who;
part;
external device;EXD
connect descriptor;
waypoint;WPT
select AV;
payload screen;
efficiency;EFFCY
Cab radio system;CRS
other user;
early event detection;EED
operator request;
maximum semantic understanding of term;
follow type;
mobile;
locomotive / coach;
hyperlink;
driver identification;
type;
action;
lubricant;
data management service;
laboratory data;
railway network;
video;
vaccination;
policy;
web server;
developer of system;
installation;
identity and access management;
ERTMS;
interoperability;
dissemination;
default;
distinctive audible and visual indication;
loudspeaker volume;
template;
concurrently run unit;
call or call party;
attestation;
select datum terminal;
configuration;
ASCII report file;
AFATDS;
court;
record traffic;
off;
reminder of need;
accidental use;
test;
visual and audible indication;
transitory lighting of display;
different language;
ETCS;
same call group;
available local resource;aLR
way;
example;
resource information;
maximum number of heating or cool unit;
infrastructure datum;
functionality and capability;
advisory;
maximum;
group;
automatic selection;
EED;
av;
exposure datum;
receipt of Railway emergency call;
payment;
course;
interaction protocol;
output;
mobile network;
economic operator and contracting authority;
identity;
overlays;
intend recipient;
radio link;
board;
data link;
network;
export and dissemination;
service information;
internet;
trigger value;
functionality and interface;
multiple type;
issue body;
heating;
scope;
NIMA;
air;
automatic network selection;
current map display;
future tactical uav;
vcd package and vcd system;
thermostat;
broadcast or group call;
place;
validity;
structural VCD package datum;
search;
traction unit;
patient;
radio related prompt;
traffic surge;
resident;
ftp;
DMI;
current temperature value;
activation;
vcd advanced package;
shunt group;
journey;
EIRENE system;
initiator;
reason;
ceiling speed;
sufficient right;
relation;
conductor;
illness;
high priority;
cab;
range;
voice;
terminal;
actual speed;
