AA;Anti-alias
AAC;Advanced Audio Coding
AAM;autmoatic acoustic management
AAS;Auto Area Segmentation
AAS;as a service
ABC;Atanasoff-Berry Computer
ABIOS;Advanced BIOS
ABP;AdBlock Plus
AC;alternating current
ACCT;account
ACE;access control entry
Ack;acknowledgment
ACL;access control list
ACM;Association for Computing Machinery
ACPI;Advanced Configuration and Power Interface
ACR;annual compliance report
ACR;actual cell rate
ACR;attenuation crosstalk ratio
ACR;absolute cell reference
ACS;access control system
AD;Active Directory
ADB;Apple Desktop Bus
ADB;Android Debug Bridge
ADC;analog-to-digital
ADO;ActiveX Data Object
ADPCM;adaptive delta pulse code modulation
ADSI;analog display service interface
ADSI;Active Directory Service Interface
ADSL;asymmetric digital subscriber line
ADSM;ADSTAR Distributed Storage Management
AE;automatic exposure
AE;After Effects
AE lock;auto exposure lock
AES;Advanced Encryption Standard
AF;Autofocus
AGP;accelerated graphics port
AHCI;Advanced Host Controller Interface
AI;artificial intelligence
AIM;Apple, IBM and Motorola
AIM;AOL Instant Messenger
AIML;Artificial Intelligent Markup Language
AIMM;AGP in-line memory module
AIO;All-in-One
AIX;advanced interactive executive
AJAX;Asynchronous JavaScript and XML
ALGOL;algorithmic language
Alpha;alphabet
ALU;arithmetic logic unit
AM;amplitude modulation
AM;ante meridiem
AMOLED;active-matrix organic light-emitting diode
Amp;ampere
ANI;Automatic Number Identification
ANSI;American National Standards Institute
AOP;auto operator
AOP;aspect-oriented programming
AOSP;Android Open Source Project
API;application programming interface
APIC;Advanced Programmable Interrupt Controller
APIPA;Automatic Private Internet Protocol Addressing
APK;Android package file
APM;advanced power management
App;application
APT;advanced persistent threat
APT;advanced packaging tool
APU;advanced processing unit
APU;accelerated processing unit
AR;augmented reality
ARCnet;Attached Resource Computer network
A record;address record
Arg;argument
ARP;Address Resolution Protocol
ARPA;address and routing parameter area
ARPA;Advanced Research Projects Agency
ARPANET;Advanced Research Projects Agency Network
ARQ;automatic repeat request
AS;autonomous system
AS/400;Application System/400
ASCII;American Standard Code for Information Interchange
ASME;American Society of Mechanical Engineers
ASMR;autonomous sensory meridian response
ASN;autonomous system number
ASN.1;abstract syntax number one
ASP;answer set programming
ASP;authorized service provider
ASP;application service provider
ASP;Active Server Pages
ASPI;advanced SCSI programming interface
ASR;automatic speech recognition
ASR;automated system recovery 
AT;advanced technology
ATA;Advanced Technology Attachment
ATAPI;AT Attachment Packet Interface
ATC;advanced transfer cache
ATM;automated teller machine
ATM;at the moment
ATM;ascynchronous transfer mode
ATRAC;Adaptive Transform Acoustic Coding
ATX;Advanced Technology eXtended
AU;arithmetic unit
AUI;Attachment Unit Interface
AUP;acceptable use policy
Auto;automobile
Auto;autonomous
Auto;automatic
AV;avatar
AV;aperture value
AV;antivirus
AVC;Advanced Video Coding
AVI;Audio Video Interleaved
AVR;automatic voice response
AVR;automatic voice recognition
AVR;automatic voltage regulator
AWS;Amazon Web Services
B2B;business-to-business
B2B;business-to-consumer
Basic;Beginners All-purpose Symbolic Instruction Code
BAT;Baby AT
BB;broadband
BBS;bulletin board system
BBS;BIOS boot specification
BC;before Christ
BCC;blind carbon copy
BCD;binary-coded decimal
BCP;best current practices
BCPL;Basic Combined Programming Language
BD;Blu-ray disc
BDC;backup domain controller
BDF;Glyph Bitmap Distribution Format
BDI;bidirectional isolation
BDO;bidirectional override
BEDO DRAM;Burst EDO DRAM
BER;beyond economical repair
BER;bit error rate
BERT;bit error rate test
BERT;bit error rate tester
BF;Battlefield
BG;battleground
BG;bad game
BG;background
BGA;ball grid array
BGMP;Border Gateway Multicast Protocol
