;Approach;Number of AEP groups;found abbreviations;missed abbreviations;matched abbreviations;Size of AEP groups;Cost Effectiveness;Duration
0;LD;387;65;31;26;20.03359173126615;0.7705227588948519;11.26915955543518
1;JWS;512;69;31;55;65.1796875;1.1850852272727272;10.731590032577515
2;DC;477;68;31;26;31.834381551362682;1.2243992904370262;11.12732744216919
3;ILLOD;406;69;31;54;15.342364532019705;0.2841178617040686;1.830484390258789
4;ILLOD_A;402;69;31;56;12.087064676616915;0.21584044065387348;43.17120170593262
5;ILLOD_B;400;69;31;37;9.4375;0.25506756756756754;50.60187864303589
6;LD;380;61;35;24;19.88421052631579;0.8285087719298246;11.290510177612305
7;JWS;509;65;35;52;63.76817288801572;1.2263110170772253;11.298840284347534
8;DC;472;61;35;25;31.472457627118644;1.2588983050847458;12.109212398529053
9;ILLOD;399;65;35;57;14.355889724310776;0.25185771446159255;1.826357126235962
10;ILLOD_A;395;65;35;57;11.275949367088607;0.19782367310681767;42.31174159049988
11;ILLOD_B;393;65;35;40;8.834605597964376;0.22086513994910942;49.770957231521606
