;Dataset;Requirement_Text;{replaced_term:inserted_abbreviation}
0;01_cctns;The Registration module acts as an interface between the police and citizens and it eases the approach, interaction and information exchange between police and complainants.;{}
1;01_cctns;After a complaint is initiated, police initiates the investigation process.;{}
2;01_cctns;The Investigation module of the CCTNS facilitates the investigation process and introduces operational efficiencies by automating most of task that take place after initial entries are made during Registration.;{'task': 'task'}
3;01_cctns;Interfacing with the courts during the prosecution of cases is an integral part of the responsibilities of police personnel.;{}
4;01_cctns;A designated constable from each police station constantly interfaces with the courts.;{}
5;01_cctns;The Prosecution module of the CCTNS aids this interfacing by providing a platform to record ent of the court interactions.;{'entry': 'ent'}
6;01_cctns;The Search module of the CCTNS gives police personnel the ability to execute a basic or advanced search on cases.;{}
7;01_cctns;Using the search functionality, police personnel can search for a particular person, type of crime, modus operandi, property etc.;{}
8;01_cctns;It also gives the user the ability to customize the results view by criminal/accused or by cases.;{}
9;01_cctns;It makes reporting easy for police by enabling them to execute different types of queries such as monthly reporting, RTI related etc.;{}
10;01_cctns;The Citizen Interface module of the CCTNS acts as a conduit for the information exchange between citizens and police units/personnel.;{}
11;01_cctns;Citizens can use it as a tool to get information or acknowledgements from police.;{}
12;01_cctns;The police in turn can use it to respond to citizens with very little turnaround time.;{}
13;01_cctns;It improves overall productivity by helping citizens and police to cut short the drudgery of large amounts of paperwork.;{}
14;01_cctns;The Navigation module of the CCTNS provides role based landing pages which help in navigating through the CCTNS application.;{}
15;01_cctns;It shows information such as cases assigned, alerts, pending tasks etc hence helping police personnel to plan better and execute with greater efficiency.;{}
16;01_cctns;The Configuration module of the CCTNS helps keep the application configured according to the states requirements in addition to keeping data elements/rules up to date.;{}
17;01_cctns;With a proper configuration, information such as act and sections, state specific data, castes, tribes, property information etc. can be created updated and deleted.;{}
18;01_cctns;The functional requirements for each of the modules are provided as A1 to A7 in separate enclosures.;{}
19;01_cctns;The system should support multilingual interface;{}
20;01_cctns;The system should be designed in manner that operational data is not lost in case of any failure of equipment or communication network.;{}
21;01_cctns;The system should work even in an offline mode with the critical functionality;{}
22;01_cctns;The system should be designed to have satisfactory performance even in Police Stations connected on low-bandwidth;{}
23;01_cctns;The system should be implemented using Service Oriented Architecture (SOA) and have a modular design;{}
24;01_cctns;The system should be developed on Open Standards;{}
25;01_cctns;The system should be built on a common User Access and Authentication Service to ensure Single-Sign on for the end-user;{}
26;01_cctns;The system should be developed for a centralized deployment and maintenance;{}
27;01_cctns;The system should be developed to be deployed in a 3-tier datacenter architecture;{}
28;01_cctns;The system should be designed to have a n-tier architecture with the presentation logic separated from the business logic that is again separated from the data-access logic;{}
29;01_cctns;The system should be extensible to provide access to the interfaces through PDA’s and mobile data terminals;{}
30;01_cctns;The system should adopt standardized formats and common metadata elements;{}
31;01_cctns;The system should be designed for access through browser-based systems and must impose minimal requirements on the client device;{}
32;01_cctns;The system must support multiple types of communication services for remote access;{}
33;01_cctns;The system should have capability to support public access to a subset of data and functionality;{}
34;01_cctns;The system should support multi-tier authentication where required;{}
35;01_cctns;The system should support SSL encrypted connections;{}
36;01_cctns;The system should support secure virtual private network connections;{}
37;01_cctns;The system should use HTTPS as the communication protocol, i.e., HTTP over an encrypted secure socket layer (SSL);{}
38;01_cctns;The system should run on multiple browsers;{}
39;01_cctns;The system should support selective encryption of the stored data;{}
40;01_cctns;The system should ensure secure transmission of data over the network and utilize SSL and 2-way digital signatures;{}
41;01_cctns;Prevent cross-site scripting;{}
42;01_cctns;Validate the incoming data / user request;{}
43;01_cctns;Encode the incoming data / user request;{}
44;01_cctns;Prevent SQL Injection;{}
45;01_cctns;Utilize parameterized queries;{}
46;01_cctns;Sanitize the user-inputs;{}
47;01_cctns;Validate the data both at the client and server;{}
48;01_cctns;Do not allow hard delete and perform only soft tagging the row for deletion;{}
49;01_cctns;Use of cache for storing frequent data;{}
50;01_cctns;Use of AJAX based technology to improve user experience.;{}
51;01_cctns;Aggressive page loading to be considered based on the screen and estimate usage pattern;{}
52;01_cctns;Leverage Asynchronous HTTP socket capabilities of web server for scalability and perf;{'performance': 'perf'}
53;01_cctns;Host all the static content (documents, images) on the web server;{}
54;01_cctns;The search results should be fetched from db in batches of 10 or 20 maximum as configured within the application;{'database': 'db'}
55;01_cctns;Display of records on the screen in batches/paged manner;{}
56;01_cctns;The search should fetch only the fields that need to be displayed to the user.;{}
57;01_cctns;Only when the user clicks on a particular record to view its further details should a query be fired to fetch the additional details for this particular record only;{}
58;01_cctns;A hierarchical cache should be configured and used for caching of results of most frequently used searches;{}
59;01_cctns;Database Indexes should be applied on the key columns used for searching;{}
60;02_gamma;CUST will be able to register, log in, and log out of their accounts.;{'customer': 'CUST'}
61;02_gamma;Furthermore, Customer profiles will also include payment information, such as the ability to store credit card information, and address information.;{}
62;02_gamma;"Products will be stored in multi-tiered categories; a category can contain sub categories or products.";{}
63;02_gamma;The inventory management will allow for administrators to update the categories, the products placed in categories, and the specific product details.;{}
64;02_gamma;Customers will also be able to add products into the shopping cart.;{}
65;02_gamma;The shopping cart will clearly display the number of items in the cart, along with the total cost.;{}
66;02_gamma;The customer will also be able to add to or remove products from the shopping cart prior to checkout and order confirmation.;{}
67;02_gamma;CUST will be able to confirm the order after checkout.;{'customer': 'CUST'}
68;02_gamma;If the order is incorrect, CUST will be able to revise and update their order.;{'customer': 'CUST'}
69;02_gamma;CUST will then receive a confirmation email with the specific order details.;{'customer': 'CUST'}
70;02_gamma;The system will implement an Application Interface to allow for various plug-ins to interact with the system.;{}
