dataset	id	requirements
03_themas	73	The system shall read this file and the definitions shall be derived from the initialization data in the file.
03_themas	74	The THEMAS system shall use the information contained in the initialization data file to determine which heating and cooling units are part of the THEMAS system.
03_themas	82	This procedure loads the maximum number of concurrently running units allowed.
03_themas	85	The trigger value is used in combination with the current temperature to determine when a heating or cooling unit shall be turned on or off.
03_themas	87	This procedure shall read the initialization file and establish the trigger value from the data in that file.
03_themas	88	The THEMAS system shall ensure the temperature reported by a given thermostat shall not exceed a maximum deviation value of 3 degrees Fahrenheit.
03_themas	90	This procedure shall read the initialization file and establish the overtemperature value from the data in that file.
03_themas	93	When the THEMAS system is initialized, it shall first turn off all the heating and cooling units.
03_themas	94	Then, it shall check all the thermostats and determine if any thermostat’s settings require a heating or cooling unit to be turned on back on.
03_themas	95	This process shall first determine a known state of all the heating and cooling units by issuing a request to turn off all the units.
03_themas	96	It shall then read the current temperature values and current temperature settings of each thermostat.
03_themas	97	If the settings reflect a need for a heating or cooling unit to be turned on, the process shall issue a request to turn on the appropriate unit.
03_themas	101	This module shall process both types of data.
03_themas	102	A current temperature value that is received from an individual thermostat shall be compared to the valid temperature range values.
03_themas	103	If the current temperature value is strictly less than the lower value of the valid temperature range or if the received temperature value is strictly greater than the upper value of the valid temperature range, then the THEMAS system shall identify the current temperature value as an invalid temperature and shall output an invalid temperature status.
03_themas	104	Otherwise, the THEMAS system shall output a valid temperature status.
03_themas	105	A temperature setting value that is received from an individual thermostat shall be compared to the valid temperature range values.
03_themas	106	If the temperature setting value is strictly less than the lower value of the valid temperature range or if the temperature setting value is strictly greater than the upper value of the valid temperature range, then the THEMAS system shall identify the temperature setting as an invalid temperature and shall output an invalid temperature status.
03_themas	107	Otherwise, the THEMAS system shall realize the value for that thermostat’s temperature setting.
03_themas	109	The THEMAS system shall determine wh en a reported temperature or a changed temperature setting exceeds the limits set by the overtemperature values.
03_themas	110	Temperatures that exceed the overtemperature limits shall be reported as such.
03_themas	111	Temperatures that do not exceed these limits shall be output for subsequent processing.
03_themas	112	The THEMAS system shall compare the reported temperature value to the temperature setting and detect when the temperature value exceeds the specified limits.
03_themas	114	If T = LO or UO = T then the THEMAS system shall recognize this condition as the temperature limit has been exceeded. In this case this process shall output the condition of the temperature limit having been exceeded.
03_themas	115	If LO = T = UO, then this process shall output the temperature status.
03_themas	116	When the current temperature value exceeds the current temperature setting by a pre -defined amount, the THEMAS system shall activate the appropriate heating or cooling unit.
03_themas	119	If this condition is true, then the module shall output a request to turn off both the heating unit and the cooling unit.
03_themas	121	If this condition is true, then this module shall output a request to turn on the heating unit if LO = T LT or the cooling unit if UT T = UO.
03_themas	122	The THEMAS system shall control each of the heating and cooling units that are defined for the system.
03_themas	123	The THEMAS system shall limit the number of heating or cooling units that may be running simultaneously.
03_themas	124	The THEMAS system shall maintain the ON/OFF status of each heating and cooling unit.
03_themas	126	When a request to turn on a heating or cooling unit is received, the system shall determine if the request can be honored.
03_themas	127	If the maximum number of heating or cooling units is already running, the request will be added to a LIFO queue.
03_themas	128	If the maximum number of heating or cooling units is not running, this process will generate a request to turn on the requested unit.
03_themas	129	When a request to turn off a heating or cooling unit is received, this process shall check the queue of waiting heating and cooling requests.
03_themas	130	If the queue is not empty, this process shall remove one request from the LIFO queue and check the current state of the thermostat for which the queued request was made.
03_themas	131	If that thermostat still needs a heating or cooling unit turned on, this process shall submit a request to turn that unit on.
03_themas	132	When a request for a heating unit or cooling to be turned is denied, an event shall be generated and the THEMAS system shall record that event.
03_themas	134	This procedure shall realize the thermostat and heating or cooling information and use this information to generate a specific system event.
03_themas	136	The THEMAS system shall control the heating and cooling units that are designated as part of the THEMAS system.
