;Approach;Number of AEP groups;found abbreviations;missed abbreviations;matched abbreviations;Size of AEP groups;Cost Effectiveness;Duration
0;LD;387;69;29;23;20.475452196382427;0.8902370520166273;10.730690240859985
1;JWS;514;71;29;60;65.40661478599222;1.0901102464332035;10.623372554779053
2;DC;477;70;29;24;32.40461215932914;1.3501921733053808;11.08649230003357
3;ILLOD;406;71;29;60;15.795566502463053;0.26325944170771753;1.7908155918121338
4;ILLOD_A;402;71;29;62;12.370646766169154;0.19952656074466377;43.64759707450867
5;ILLOD_B;400;71;29;38;9.6125;0.25296052631578947;51.58148145675659
6;LD;380;58;37;20;20.442105263157895;1.0221052631578948;10.57551383972168
7;JWS;512;63;37;54;64.98828125;1.2034866898148149;10.390475511550903
8;DC;471;60;37;20;31.692144373673035;1.5846072186836517;11.065221786499023
9;ILLOD;402;63;37;56;15.186567164179104;0.2711886993603411;1.7947709560394287
10;ILLOD_A;398;63;37;58;12.175879396984925;0.20992895512042975;44.20843815803528
11;ILLOD_B;396;63;37;35;9.651515151515152;0.27575757575757576;53.67874264717102
12;LD;387;65;29;19;20.679586563307492;1.0883992928056574;19.93665075302124
13;JWS;515;71;29;54;65.25631067961164;1.208450197770586;19.375070571899414
14;DC;478;67;29;20;32.12761506276151;1.6063807531380754;21.02015447616577
15;ILLOD;407;71;29;59;15.282555282555283;0.259026360721276;3.4122519493103027
16;ILLOD_A;404;71;29;59;12.452970297029703;0.21106729316999495;86.89035224914551
17;ILLOD_B;402;71;29;33;9.786069651741293;0.2965475652042816;94.55391359329224
18;LD;379;57;39;17;20.406332453825858;1.200372497283874;23.1554594039917
19;JWS;507;61;39;42;64.80867850098619;1.5430637738330044;19.193544149398804
20;DC;468;58;39;18;32.15811965811966;1.78656220322887;11.264710903167725
21;ILLOD;399;60;39;48;15.06516290726817;0.3138575605680869;2.2561779022216797
22;ILLOD_A;395;60;39;48;12.053164556962026;0.25110759493670887;96.12685632705688
23;ILLOD_B;392;59;39;30;9.60969387755102;0.3203231292517007;114.6053237915039
24;LD;387;70;26;20;19.90439276485788;0.9952196382428941;12.030531883239746
25;JWS;513;74;26;51;64.44834307992203;1.2636930015670986;12.061950922012329
26;DC;476;73;26;22;31.668067226890756;1.439457601222307;12.151332139968872
27;ILLOD;404;74;26;53;15.351485148514852;0.28965066317952554;1.9421472549438477
28;ILLOD_A;401;74;26;55;11.960099750623442;0.2174563591022444;45.37260675430298
29;ILLOD_B;399;74;26;35;9.233082706766917;0.2638023630504833;54.706034660339355
30;LD;382;64;33;26;20.99738219895288;0.8075916230366492;11.031384706497192
31;JWS;508;66;33;56;65.0984251968504;1.1624718785151857;11.157550573348999
32;DC;472;65;33;27;32.483050847457626;1.2030759573132455;11.710391998291016
33;ILLOD;401;66;33;57;15.102244389027431;0.2649516559478497;2.1221632957458496
34;ILLOD_A;398;66;33;58;12.032663316582914;0.20745971235487784;55.80757737159729
35;ILLOD_B;396;66;33;37;9.547979797979798;0.258053508053508;96.71260571479797
36;LD;385;61;35;24;20.114285714285714;0.8380952380952381;22.42705774307251
37;JWS;515;65;35;54;65.21553398058252;1.2076950737144911;21.856837272644043
38;DC;475;63;35;24;31.406315789473684;1.30859649122807;23.302655458450317
39;ILLOD;408;65;35;58;15.110294117647058;0.26052231237322515;3.5803935527801514
40;ILLOD_A;404;65;35;57;12.257425742574258;0.21504255688726767;52.186004877090454
41;ILLOD_B;402;65;35;37;9.572139303482587;0.25870646766169153;50.24131894111633
42;LD;386;64;34;24;20.06217616580311;0.8359240069084629;12.121907472610474
43;JWS;511;66;34;48;65.06849315068493;1.355593607305936;11.737795352935791
44;DC;473;64;34;25;31.64059196617336;1.2656236786469344;12.485100746154785
45;ILLOD;403;66;34;52;14.501240694789082;0.2788700133613285;2.015434980392456
46;ILLOD_A;399;66;34;54;11.56140350877193;0.21410006497725795;51.806148529052734
47;ILLOD_B;397;66;34;35;9.251889168765743;0.2643396905361641;62.6174955368042
48;LD;392;71;27;25;21.18622448979592;0.8474489795918367;13.501453399658203
49;JWS;521;73;27;58;65.90978886756238;1.136375670130386;13.386247396469116
50;DC;483;72;27;25;32.52587991718426;1.3010351966873706;14.139342069625854
51;ILLOD;412;73;27;61;15.655339805825243;0.2566449148495941;2.2999725341796875
52;ILLOD_A;407;73;27;60;12.407862407862408;0.20679770679770682;59.12826585769653
53;ILLOD_B;403;71;27;31;9.71712158808933;0.31345553509965585;73.04222989082336
54;LD;379;62;35;18;19.654353562005277;1.0919085312225154;13.340604305267334
55;JWS;505;65;35;51;65.30891089108911;1.2805668802174335;12.953431367874146
56;DC;467;64;35;18;31.23340471092077;1.7351891506067094;13.818873405456543
57;ILLOD;397;65;35;54;14.987405541561714;0.27754454706595766;2.1987555027008057
58;ILLOD_A;393;65;35;55;11.9058524173028;0.21647004395096;62.64859747886658
59;ILLOD_B;390;64;35;33;9.392307692307693;0.2846153846153846;70.11115336418152
