;Approach;Number of AEP groups;found abbreviations;missed abbreviations;matched abbreviations;Size of AEP groups;Cost Effectiveness;Duration
0;LD;393;66;31;25;20.29262086513995;0.811704834605598;17.74671173095703
1;JWS;519;69;31;56;64.71868978805395;1.155690889072392;17.624544143676758
2;DC;480;67;31;25;32.28333333333333;1.2913333333333332;18.158241033554077
3;ILLOD;413;69;31;60;15.232445520581114;0.25387409200968525;3.1701271533966064
4;ILLOD_A;410;69;31;60;12.029268292682927;0.2004878048780488;84.37919473648071
5;ILLOD_B;408;69;31;35;9.291666666666666;0.2654761904761905;100.61768937110901
6;LD;379;65;30;20;20.643799472295516;1.0321899736147757;18.830168962478638
7;JWS;508;70;30;54;64.13188976377953;1.1876275882181393;18.05152153968811
8;DC;468;66;30;20;32.504273504273506;1.6252136752136752;18.27318239212036
9;ILLOD;399;70;30;60;14.4937343358396;0.24156223893066;3.206390619277954
10;ILLOD_A;396;70;30;60;11.444444444444445;0.19074074074074074;84.81590008735657
11;ILLOD_B;394;70;30;34;9.027918781725889;0.2655270229919379;95.75740671157837
12;LD;385;61;37;15;19.612987012987013;1.3075324675324675;17.666240692138672
13;JWS;510;62;37;51;64.88627450980393;1.2722798923490966;17.049777269363403
14;DC;470;62;37;15;31.56595744680851;2.1043971631205673;20.498963356018066
15;ILLOD;403;62;37;52;15.1712158808933;0.2917541515556404;3.422342538833618
16;ILLOD_A;400;62;37;53;12.0;0.22641509433962265;81.37211799621582
17;ILLOD_B;398;62;37;27;9.253768844221106;0.3427321794155965;95.58630013465881
18;LD;394;73;23;25;20.32994923857868;0.8131979695431473;18.549565315246582
19;JWS;523;77;23;59;64.51434034416826;1.0934633956638689;18.401444673538208
20;DC;482;74;23;26;32.8941908713693;1.2651611873603577;19.225539445877075
21;ILLOD;413;77;23;64;15.065375302663439;0.23539648910411623;3.760618209838867
22;ILLOD_A;409;77;23;63;11.960880195599023;0.18985524119998448;81.8797435760498
23;ILLOD_B;407;77;23;40;9.466830466830467;0.23667076167076168;95.19267988204956
24;LD;382;62;33;19;20.465968586387433;1.0771562413888123;17.258345127105713
25;JWS;511;67;33;51;65.18786692759295;1.2781934691684893;16.80114507675171
26;DC;473;65;33;20;31.47568710359408;1.573784355179704;18.254608631134033
27;ILLOD;404;67;33;55;14.913366336633663;0.27115211521152116;3.1618456840515137
28;ILLOD_A;401;67;33;56;11.83790523690773;0.21139116494478088;78.95066022872925
29;ILLOD_B;398;67;33;32;9.304020100502512;0.2907506281407035;94.76940822601318
30;LD;385;67;29;21;20.335064935064935;0.9683364254792826;18.156558752059937
31;JWS;509;71;29;61;66.19646365422396;1.08518792875777;17.705801010131836
32;DC;475;69;29;21;32.08631578947369;1.527919799498747;18.204859495162964
33;ILLOD;402;71;29;60;14.888059701492537;0.24813432835820895;3.274611473083496
34;ILLOD_A;398;71;29;62;11.753768844221106;0.1895769168422759;79.68023324012756
35;ILLOD_B;396;71;29;36;9.23989898989899;0.2566638608305275;100.45761704444885
36;LD;388;63;35;23;19.989690721649485;0.8691169878978037;21.19987654685974
37;JWS;517;64;35;49;64.17214700193423;1.3096356531006987;20.75207018852234
38;DC;476;64;35;23;31.573529411764707;1.372762148337596;19.761746168136597
39;ILLOD;406;64;35;50;14.426108374384237;0.2885221674876847;3.605184316635132
40;ILLOD_A;402;64;35;52;11.519900497512438;0.22153654802908535;92.8136203289032
41;ILLOD_B;400;64;35;32;9.215;0.28796875;102.13126826286316
42;LD;385;62;36;23;20.085714285714285;0.8732919254658384;17.42988634109497
43;JWS;512;63;36;46;65.654296875;1.4272673233695652;17.04240655899048
44;DC;476;62;36;24;31.794117647058822;1.3247549019607843;17.507919311523438
45;ILLOD;402;63;36;50;15.427860696517413;0.3085572139303483;3.1777243614196777
46;ILLOD_A;399;63;36;50;12.155388471177945;0.2431077694235589;84.59281015396118
47;ILLOD_B;397;63;36;33;9.64735516372796;0.2923440958705443;99.93335103988647
48;LD;382;58;35;15;19.32460732984293;1.288307155322862;18.0328152179718
49;JWS;511;64;35;46;64.2720156555773;1.397217731642985;17.48661494255066
50;DC;471;60;35;17;31.093418259023355;1.8290246034719622;18.25509548187256
51;ILLOD;405;64;35;48;15.234567901234568;0.31738683127572015;3.4066379070281982
52;ILLOD_A;400;64;35;49;12.34;0.2518367346938776;84.94072890281677
53;ILLOD_B;398;64;35;32;9.515075376884422;0.2973461055276382;98.43280553817749
54;LD;383;62;35;21;19.60052219321149;0.9333581996767376;17.512253522872925
55;JWS;513;65;35;55;64.58869395711501;1.1743398901293638;20.957905054092407
56;DC;476;63;35;21;30.735294117647058;1.4635854341736694;19.42865014076233
57;ILLOD;402;65;35;56;14.7636815920398;0.263637171286425;3.254357099533081
58;ILLOD_A;399;65;35;56;11.814536340852131;0.21097386322950235;85.3044786453247
59;ILLOD_B;397;65;35;33;9.261964735516372;0.28066559804595065;106.52258396148682
